dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.517704,4.342901,10.000000,1000.000000,50000.000000,2500000.000000,1.682169
0.020000,13.315151,3.174705,14.937629,246.881471,-37655.926442,-4382796.322106,4.958662
0.020000,13.589078,3.144338,15.213234,13.780223,-11655.062399,1300043.202149,3.053585
0.020000,13.589078,3.144338,15.213234,0.000000,-689.011159,548302.562019,3.053585
